#timestamp,#frame_is_ok,#U1,#current1,#activepow1
1732551015.118896218,true,227.5,3.3,757.1
1732551015.129157100,true,227.5,3.3,757.1
1732551015.138822543,true,227.5,3.3,757.1
1732551015.149069234,true,226.8,3.3,752.3
1732551015.158813602,true,227.5,3.4,760.0
1732551015.169069797,true,227.5,3.4,760.0
1732551015.178817628,true,227.5,3.4,760.0
1732551015.188988683,true,227.5,3.4,760.0
1732551015.198728557,true,227.5,3.3,757.7
1732551015.208897406,true,226.8,3.3,752.8
1732551015.218725634,true,227.5,3.3,757.7
1732551015.228901003,true,227.5,3.3,757.7
1732551015.238588914,true,227.6,3.3,749.3
1732551015.248904383,true,227.6,3.3,749.3
1732551015.258588710,true,227.6,3.3,749.3
1732551015.268901654,true,226.9,3.3,744.5
1732551015.278729501,true,227.6,3.3,752.5
1732551015.288817714,true,227.6,3.3,752.5
1732551015.299149677,true,227.6,3.3,752.5
1732551015.308817085,true,226.9,3.3,747.7
1732551015.319072690,true,227.6,3.3,750.0
1732551015.328808886,true,227.6,3.3,750.0
1732551015.339073208,true,227.6,3.3,750.0
1732551015.348813389,true,226.8,3.3,745.2
1732551015.358900459,true,227.5,3.3,747.6
1732551015.368736886,true,227.5,3.3,747.6
1732551015.378896455,true,227.5,3.3,747.6
1732551015.388732782,true,227.5,3.3,747.6
1732551015.398906222,true,227.7,3.3,758.3
1732551015.408587767,true,226.9,3.3,753.5
1732551015.418904883,true,227.7,3.3,758.3
1732551015.428588087,true,227.7,3.3,758.3
1732551015.438815659,true,227.6,3.3,757.8
1732551015.448588578,true,226.8,3.3,753.0
1732551015.458821060,true,227.6,3.3,757.8
1732551015.468586975,true,227.6,3.3,757.8
1732551015.478823827,true,227.6,3.3,746.2
1732551015.488587456,true,227.6,3.3,746.2
1732551015.498820380,true,227.6,3.3,746.2
1732551015.508984446,true,227.6,3.3,746.2
1732551015.518732454,true,227.6,3.3,747.3
1732551015.528895720,true,226.9,3.3,742.5
1732551015.538724340,true,227.6,3.3,747.3
1732551015.548899421,true,227.6,3.3,747.3
1732551015.558724553,true,227.6,3.4,760.1
1732551015.568899978,true,227.6,3.4,760.1
1732551015.578587321,true,227.6,3.4,760.1
1732551015.588899879,true,226.8,3.3,755.2
1732551015.598728456,true,227.8,3.3,746.8
1732551015.608816104,true,227.8,3.3,746.8
1732551015.618586303,true,227.8,3.3,746.8
1732551015.628820202,true,227.8,3.3,746.8
1732551015.638587566,true,227.6,3.3,755.5
1732551015.648819812,true,226.9,3.3,750.7
1732551015.658587303,true,227.6,3.3,755.5
1732551015.668735577,true,227.6,3.3,755.5
1732551015.678480092,true,227.6,3.3,755.2
1732551015.688726801,true,226.9,3.3,750.4
1732551015.698491953,true,227.6,3.3,755.2
1732551015.708736011,true,227.6,3.3,755.2
1732551015.718408918,true,227.6,3.3,752.3
1732551015.728587122,true,226.9,3.3,747.5
1732551015.738402099,true,227.6,3.3,752.3
1732551015.748586906,true,227.6,3.3,752.3
1732551015.758818615,true,227.6,3.3,753.6
1732551015.768587068,true,226.9,3.3,748.8
1732551015.778815685,true,227.6,3.3,753.6
1732551015.788586543,true,227.6,3.3,753.6
1732551015.798819699,true,227.7,3.3,754.4
